index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS
166,1617400303.7,36.96769331804055,-1.17,31.02470392313012,,,-86.7220012,36.1099247,,,0.0,0.0,0.0,0.7662015120902865,237.19190849451238
167,1617400303.8,36.7129248701152,-1.17,31.0,,,-86.7219953,36.1099157,,,0.0,0.0,0.0,0.9222355692771051,238.32435055677186
168,1617400303.9,36.49627062944639,-1.37,31.0,,,-86.7219895,36.1099068,,,0.0,0.0,0.0,1.0,239.4427651047752
169,1617400304.0,36.27562370947293,-1.37,31.0,,,-86.72198370000001,36.109898,,,0.0,0.0,0.0,1.0,240.55135264251038
170,1617400304.1,35.998474586669836,-1.37,31.0,,,-86.72197795000001,36.109889100000004,,,0.0,0.0,0.0,1.0,241.66768180964957
171,1617400304.2,35.72132546386674,-1.37,31.0,,,-86.72197220000001,36.1098802,,,0.0,0.0,0.0,1.0,242.78401100457205
172,1617400304.3,35.4628813989803,-1.37,31.0,,,-86.72196650000001,36.1098717,,,0.0,0.0,0.0,1.0,243.85895995929212
173,1617400304.4,35.17881405845764,-1.37,31.0,,,-86.7219608,36.109863,,,0.0,0.0,0.0,1.0,244.95351399882614
174,1617400304.5,34.96989694375006,-1.325985095482068,31.0,,,-86.72195529999999,36.1098545,,,0.0,0.0,0.0,1.0,246.02002166511187
175,1617400304.6,34.72422180131931,-1.17,31.0,,,-86.7219497,36.109846000000005,,,0.0,0.0,0.0,1.0,247.09072066030748
176,1617400304.7,34.48480991540714,-1.3656878272128503,31.0,,,-86.72194420000001,36.10983770000001,,,0.0,0.0,0.0,1.0,248.13757051436747
177,1617400304.8,34.235035134365205,-1.37,31.0,,,-86.72193850000001,36.1098293,,,0.0,0.0,0.0,1.0,249.20275587528224
178,1617400304.9,33.990132673082314,-1.37,31.0,,,-86.7219328,36.109821,,,0.0,0.0,0.0,1.0,250.25820436196574
179,1617400305.0,33.760460249902025,-1.17,31.0,,,-86.7219275,36.109813,,,0.0,0.0,0.0,1.0,251.26716526259676
180,1617400305.1,33.48192927931645,-1.17,31.0,,,-86.7219223,36.109805,,,0.0,0.0,0.0,1.0,252.2719182924191
181,1617400305.2,33.26756227435963,-1.37,31.0,,,-86.7219175,36.1097973,,,0.0,0.0,0.0,1.0,253.23056984272213
182,1617400305.3,32.92825068235468,-1.37,31.0,,,-86.72191219999999,36.109789500000005,,,0.0,0.0,0.0,1.0,254.21997926809294
183,1617400305.4,32.739768871726625,-1.17,31.0,,,-86.7219068,36.109781700000006,,,0.0,0.0,0.0,1.0,255.21374279977027
184,1617400305.5,32.51229994799019,-1.17,31.0,,,-86.7219017,36.109774,,,0.0,0.0,0.0,1.0,256.1848147914542
