,Time,Velocity,Acceleration,SpaceGap,RelativeVelocity,Long,Lat
9359,1615299303.9,81.97044866778462,0.0,75.13810932530602,3.043984185209309,-86.68329849999998,36.0636717
9360,1615299304.0,81.99570948406252,-0.295,75.43960432583413,2.986300192761328,-86.68331479999998,36.0636877
9361,1615299304.1,82.05907362764763,0.11075930446230219,75.74109932636225,2.9286162003133476,-86.68333129999998,36.0637037
9362,1615299304.2,81.8960255278828,-0.10470517986398527,75.99381800455195,2.977191518873205,-86.68334770000001,36.06371970000001
9363,1615299304.3,82.0132721798004,0.008723404255319145,76.24327375572578,3.032873606188793,-86.6833642,36.0637355
9364,1615299304.4,82.01383971203997,-0.08737156719150496,76.54093321795688,3.069726180174722,-86.6833807,36.0637515
9365,1615299304.5,81.95771324796962,0.39,76.86000361343818,3.0982146083426954,-86.6833972,36.0637675
9366,1615299304.6,81.94787909105227,0.1993500644119287,77.15031378949108,3.1,-86.6834135,36.0637833
9367,1615299304.7,81.96595381208479,-0.061974774284288374,77.43870171615417,3.1,-86.68343,36.06379929999999
9368,1615299304.8,81.813007111103,0.0,77.76596821219728,1.03138177826242,-86.6834465,36.0638152
9369,1615299304.9,81.98322165184709,0.0,78.14258023575364,-3.6626887557274252,-86.683463,36.0638312
9370,1615299305.0,81.95706150236902,-0.38203926038270475,78.49069473173255,-4.193115660765336,-86.6834795,36.0638472
9371,1615299305.1,81.93800828777188,0.29,78.81978862778195,-1.9444494669044121,-86.6834958,36.063863
9372,1615299305.2,81.95482753296763,0.095,79.1488833084531,0.30422208819961316,-86.6835123,36.0638788
9373,1615299305.3,81.93796598971649,-0.15977407208176436,79.47797720450251,2.552888282060538,-86.68352879999998,36.0638948
9374,1615299305.4,81.97776204830771,0.095,73.77399655950289,3.282839385975662,-86.68354529999998,36.0639107
9375,1615299305.5,81.90798584770049,0.0,65.35939124080302,3.3304333074615213,-86.6835618,36.0639267
9376,1615299305.6,82.01623729649278,0.0,56.94478592210315,3.3780272289473805,-86.6835782,36.0639425
9377,1615299305.7,82.00528875742907,-0.19389514862668394,48.530160541401706,3.4256212639060992,-86.6835947,36.0639583
9378,1615299305.8,81.96480474641221,0.095,40.115555222701836,3.4732151853919584,-86.6836112,36.0639743
9379,1615299305.9,81.95985035616337,0.0,31.70092984200039,3.5208092203506767,-86.6836277,36.0639902
9380,1615299306.0,81.92,-0.1704303664443023,31.3066295043894,3.5602675367838055,-86.6836442,36.064006
9381,1615299306.1,81.93741344950642,0.04416073328422948,31.686727735036477,3.598940321878711,-86.6836605,36.0640218
9382,1615299306.2,81.8942791704517,0.0,32.066834291656036,3.6185896618007245,-86.683677,36.0640378
9383,1615299306.3,81.90861834675383,-0.2749155631261791,32.446943948257726,3.6279673671445165,-86.6836933,36.0640537
9384,1615299306.4,81.83399008213514,0.0,32.79755938385159,3.6292205281357126,-86.6837098,36.06406970000001
9385,1615299306.5,81.87021515855763,-0.006640279554175038,33.132288842196544,3.6260980518451817,-86.68372629999998,36.0640855
9386,1615299306.6,81.87395015318685,0.0,33.48009370119419,3.625,-86.6837427,36.0641015
9387,1615299306.7,81.84470424212893,0.0,33.834991529650395,3.625,-86.68375920000003,36.06411729999999
9388,1615299306.8,81.73658137311494,0.0,34.18988851196545,3.625,-86.6837755,36.06413320000001
9389,1615299306.9,81.78326455189406,0.0,34.54478634042165,3.625,-86.68379200000003,36.0641492
9390,1615299307.0,81.84830367457982,-0.636917873627248,34.923906660852076,3.622178814879421,-86.6838085,36.064165
9391,1615299307.1,81.713750413953,0.095,35.31623252348944,3.6178196386278954,-86.683825,36.0641808
9392,1615299307.2,81.50912426720707,0.08884118202551493,35.70855932150544,3.613460451983273,-86.6838413,36.0641968
9393,1615299307.3,81.66069602741233,-0.31529027117619585,36.1008851841428,3.6091012757317467,-86.6838578,36.06421270000001
9394,1615299307.4,81.57928667224728,0.06525362217823254,36.4932119821588,3.6047420890871247,-86.6838743,36.0642285
9395,1615299307.5,81.603044734364,0.29,36.88553784479616,3.6003829128355984,-86.6838908,36.0642443
9396,1615299307.6,81.7178460164145,0.0,37.240142535991076,3.5703316184318616,-86.6839073,36.0642602
